"RelativePath","Type","Bytes","LastWriteTimeUtc"
"install\dependencies\ollama\lib\ollama\cuda_v12\vcruntime140_threads.dll","file","25992","2026-08-26T23:50:56.7422271Z"
"install\dependencies\ollama\lib\ollama\cuda_v12\vcruntime140.dll","file","112008","2026-08-26T23:50:56.6934171Z"
"install\dependencies\ollama\lib\ollama\cuda_v13\concrt140.dll","file","311688","2026-08-26T23:50:56.7467527Z"
"install\dependencies\ollama\lib\ollama\cuda_v13\cublas64_13.dll","file","50285960","2026-08-26T23:50:57.3098775Z"
"install\dependencies\ollama\lib\ollama\cuda_v13\cublasLt64_13.dll","file","477894536","2026-08-26T23:51:01.8021310Z"
"install\dependencies\ollama\lib\ollama\cuda_v13\ggml-cuda.dll","file","97635208","2026-08-26T23:51:06.6514289Z"
"install\dependencies\ollama\lib\ollama\cuda_v13\msvcp140_1.dll","file","23432","2026-08-26T23:51:06.8869991Z"
"install\dependencies\ollama\lib\ollama\cuda_v13\msvcp140_2.dll","file","267656","2026-08-26T23:51:06.8930169Z"
"install\dependencies\ollama\lib\ollama\cuda_v13\msvcp140_atomic_wait.dll","file","37768","2026-08-26T23:51:06.9468445Z"
"install\dependencies\ollama\lib\ollama\cuda_v13\msvcp140_codecvt_ids.dll","file","19336","2026-08-26T23:51:06.9510664Z"
"install\dependencies\ollama\lib\ollama\cuda_v13\msvcp140.dll","file","545160","2026-08-26T23:51:06.8672039Z"
"install\dependencies\ollama\lib\ollama\cuda_v13\vccorlib140.dll","file","339848","2026-08-26T23:51:07.0186260Z"
"install\dependencies\ollama\lib\ollama\cuda_v13\vcruntime140_1.dll","file","37256","2026-08-26T23:51:07.0491391Z"
"install\dependencies\ollama\lib\ollama\cuda_v13\vcruntime140_threads.dll","file","25992","2026-08-26T23:51:07.0531381Z"
"install\dependencies\ollama\lib\ollama\cuda_v13\vcruntime140.dll","file","112008","2026-08-26T23:51:07.0461392Z"
"install\dependencies\ollama\lib\ollama\vulkan\concrt140.dll","file","311688","2026-08-26T23:51:09.7275345Z"
"install\dependencies\ollama\lib\ollama\vulkan\ggml-vulkan.dll","file","58064776","2026-08-26T23:51:12.4926374Z"
"install\dependencies\ollama\lib\ollama\vulkan\msvcp140_1.dll","file","23432","2026-08-26T23:51:12.8058883Z"
"install\dependencies\ollama\lib\ollama\vulkan\msvcp140_2.dll","file","267656","2026-08-26T23:51:12.8370588Z"
"install\dependencies\ollama\lib\ollama\vulkan\msvcp140_atomic_wait.dll","file","37768","2026-08-26T23:51:13.0080572Z"
"install\dependencies\ollama\lib\ollama\vulkan\msvcp140_codecvt_ids.dll","file","19336","2026-08-26T23:51:13.1254022Z"
"install\dependencies\ollama\lib\ollama\vulkan\msvcp140.dll","file","545160","2026-08-26T23:51:12.7581919Z"
"install\dependencies\ollama\lib\ollama\vulkan\vccorlib140.dll","file","339848","2026-08-26T23:51:13.1563402Z"
"install\dependencies\ollama\lib\ollama\vulkan\vcruntime140_1.dll","file","37256","2026-08-26T23:51:13.2181029Z"
"install\dependencies\ollama\lib\ollama\vulkan\vcruntime140_threads.dll","file","25992","2026-08-26T23:51:13.2181029Z"
"install\dependencies\ollama\lib\ollama\vulkan\vcruntime140.dll","file","112008","2026-08-26T23:51:13.2120780Z"
"install\dependencies\ollama\lib\ollama\vulkan\vulkan-1.dll","file","1613192","2026-08-26T23:51:13.2437146Z"
"install\dependencies\ollama\licenses\ollama","directory",,"2026-08-26T23:51:13.3712627Z"
"install\dependencies\ollama\licenses\ollama\LICENSE.txt","file","1058","2026-08-26T23:51:13.3692615Z"
"install\dependencies\ollama\notices\ollama-runtime.txt","file","430","2026-08-26T23:51:13.3722645Z"
"install\packs\native-server-binaries","directory",,"2026-08-26T23:46:24.5856788Z"
"install\packs\native-app-payload.ccpack","file","559262246","2026-08-26T23:44:37.7432456Z"
"install\packs\native-cuda-runtime.ccpack","file","1893729049","2026-08-26T23:53:24.2503747Z"
"install\packs\native-ffmpeg-runtime.ccpack","file","143727659","2026-08-26T23:44:51.4148386Z"
"install\packs\native-ollama-runtime.ccpack","file","1941233056","2026-08-26T23:45:54.0014697Z"
"install\packs\native-server-binaries.ccpack","file","75212390","2026-08-26T23:44:03.7580361Z"
"install\packs\native-server-binaries\payload","directory",,"2026-08-26T23:46:37.2858188Z"
"install\packs\native-server-binaries\payload\bin","directory",,"2026-08-26T23:46:25.5720608Z"
"install\packs\native-server-binaries\payload\lib","directory",,"2026-08-26T23:46:25.8405301Z"
"install\packs\native-server-binaries\payload\licenses","directory",,"2026-08-26T23:46:25.8405301Z"
"install\packs\native-server-binaries\payload\notices","directory",,"2026-08-26T23:46:25.8987145Z"
"install\packs\native-server-binaries\payload\share","directory",,"2026-08-26T23:46:36.8859729Z"
"install\packs\native-server-binaries\payload\tsduck","directory",,"2026-08-26T23:46:37.2868179Z"
"install\packs\native-server-binaries\payload\bin\icudt67.dll","file","28399104","2026-08-26T23:46:24.6016142Z"
"install\packs\native-server-binaries\payload\bin\icuin67.dll","file","2674176","2026-08-26T23:46:24.9292295Z"
"install\packs\native-server-binaries\payload\bin\icuuc67.dll","file","1906688","2026-08-26T23:46:24.9418899Z"
"install\packs\native-server-binaries\payload\bin\initdb.exe","file","244736","2026-08-26T23:46:24.9465670Z"
"install\packs\native-server-binaries\payload\bin\libcrypto-3-x64.dll","file","4704256","2026-08-26T23:46:25.0025194Z"
"install\packs\native-server-binaries\payload\bin\libiconv-2.dll","file","1850401","2026-08-26T23:46:25.1984537Z"
"install\packs\native-server-binaries\payload\bin\libintl-9.dll","file","475769","2026-08-26T23:46:25.2577564Z"
"install\packs\native-server-binaries\payload\bin\liblz4.dll","file","128000","2026-08-26T23:46:25.3088555Z"
"install\packs\native-server-binaries\payload\bin\libpq.dll","file","351232","2026-08-26T23:46:25.3128542Z"
"install\packs\native-server-binaries\payload\bin\libssl-3-x64.dll","file","779776","2026-08-26T23:46:25.3536901Z"
"install\packs\native-server-binaries\payload\bin\libwinpthread-1.dll","file","52736","2026-08-26T23:46:25.3584936Z"
"install\packs\native-server-binaries\payload\bin\libxml2.dll","file","1230848","2026-08-26T23:46:25.3872064Z"
"install\packs\native-server-binaries\payload\bin\libzstd.dll","file","727040","2026-08-26T23:46:25.4535309Z"
"install\packs\native-server-binaries\payload\bin\pg_ctl.exe","file","132096","2026-08-26T23:46:25.4535309Z"
"install\packs\native-server-binaries\payload\bin\pg_dump.exe","file","613376","2026-08-26T23:46:25.4609257Z"
"install\packs\native-server-binaries\payload\bin\pg_dumpall.exe","file","194560","2026-08-26T23:46:25.4609257Z"
"install\packs\native-server-binaries\payload\bin\pg_restore.exe","file","370688","2026-08-26T23:46:25.4609257Z"
"install\packs\native-server-binaries\payload\bin\postgres.exe","file","9918464","2026-08-26T23:46:25.5002010Z"
"install\packs\native-server-binaries\payload\bin\psql.exe","file","633344","2026-08-26T23:46:25.5484861Z"
"install\packs\native-server-binaries\payload\bin\zlib1.dll","file","91648","2026-08-26T23:46:25.5720608Z"
"install\packs\native-server-binaries\payload\lib\btree_gist.dll","file","75776","2026-08-26T23:46:25.5772406Z"
"install\packs\native-server-binaries\payload\lib\cyrillic_and_mic.dll","file","20480","2026-08-26T23:46:25.5792480Z"
"install\packs\native-server-binaries\payload\lib\dict_snowball.dll","file","648704","2026-08-26T23:46:25.5832671Z"
"install\packs\native-server-binaries\payload\lib\euc_cn_and_mic.dll","file","15872","2026-08-26T23:46:25.6192094Z"
"install\packs\native-server-binaries\payload\lib\euc_jp_and_sjis.dll","file","23040","2026-08-26T23:46:25.6215456Z"
